video_path,n_frames,dog_max,cat_max,dog_present,cat_present
7416286728513735968,14,0.003776076016947627,0.0025030768010765314,0,0
7101685930276293894,15,0.004250599071383476,0.19469861686229706,0,0
7177404002508803334,18,0.005000607576221228,0.0023056818172335625,0,0
7114705253899029765,25,0.010531460866332054,0.00630898866802454,0,0
6958797242429934854,24,0.007480269763618708,0.0029345653019845486,0,0
6893888228848389377,18,0.003496866673231125,0.005504647269845009,0,0
7487960173529582870,16,0.06616509705781937,0.005563234910368919,0,0
6800982671657880837,22,0.008284717798233032,0.00188316754065454,0,0
7205976379370851589,19,0.008291870355606079,0.003029577899724245,0,0
7093894381794512133,16,0.030998598784208298,0.0030354491900652647,0,0
7185555102487416070,26,0.028944380581378937,0.003531205467879772,0,0
7546523294489414934,29,0.015486850403249264,0.003774060169234872,0,0
7571821778746592534,28,0.08680379390716553,0.0020720784086734056,0,0
7208566584535764250,24,0.0029979380778968334,0.00234523368999362,0,0
7496799936558796054,30,0.007762018125504255,0.0026945704594254494,0,0
6891645296233794817,19,0.003106685820966959,0.006131133530288935,0,0
7322847358646078752,22,0.29701778292655945,0.002715191338211298,0,0
7311689753676533024,18,0.06463515013456345,0.0024626795202493668,0,0
7019559155425955077,29,0.021329015493392944,0.00907000433653593,0,0
7504292781637127446,26,0.015879197046160698,0.006127101369202137,0,0
7374727208394411297,19,0.004133210983127356,0.0035839765332639217,0,0
7462655968522931478,27,0.07017472386360168,0.002216537017375231,0,0
7153997940774882565,28,0.003392517101019621,0.001515858806669712,0,0
7107270367303044358,26,0.007632099092006683,0.0053001767955720425,0,0
6852640471013920006,20,0.006865556351840496,0.00408403854817152,0,0
6980342168535846149,28,0.0043906234204769135,0.004572814330458641,0,0
6847902541095668997,28,0.005623272154480219,0.009404029697179794,0,0
7289470545270279456,27,0.005127777345478535,0.004516935441643,0,0
7566270741134462230,18,0.023925798013806343,0.007423666305840015,0,0
7063121025394855173,19,0.20032480359077454,0.002439169678837061,0,0
6927911225066130693,18,0.008014345541596413,0.003717512357980013,0,0
6936943102523378950,20,0.31009238958358765,0.0075997100211679935,0,0
6896446483080482050,18,0.03875703737139702,0.008717790246009827,0,0
6876362124260691202,25,0.026415538042783737,0.007701868191361427,0,0
6802558843114114310,21,0.020009014755487442,0.003643784672021866,0,0
7343975400122354977,21,0.0023196181282401085,0.0012526661157608032,0,0
7166637213604678917,22,0.004443199373781681,0.0031213245820254087,0,0
7079814734664436998,30,0.007383087184280157,0.0020503681153059006,0,0
7286486663910542625,30,0.014223715290427208,0.012333887629210949,0,0
7348097820320173344,32,0.004905863665044308,0.007749626412987709,0,0
7442737337525669142,17,0.006602437235414982,0.0019142304081469774,0,0
7164792237543394566,13,0.006362013518810272,0.004153026267886162,0,0
7307595143559859488,21,0.012778913602232933,0.002276072511449456,0,0
7536170254989315350,25,0.007215899880975485,0.0025524471420794725,0,0
6904609211431357698,30,0.07960141450166702,0.010272028855979443,0,0
7143619564775968006,15,0.005370014347136021,0.0037406417541205883,0,0
7335847049495203104,22,0.5944429039955139,0.002626114059239626,0,0
6883561429727726850,18,0.004070498514920473,0.004082261584699154,0,0
7478712216724802838,29,0.009383175522089005,0.004458262585103512,0,0
7569927329154190614,16,0.009944569319486618,0.007322385441511869,0,0
7520640970199698710,22,0.004657293204218149,0.002969577210023999,0,0
6940653001791130885,24,0.0481417216360569,0.002217097207903862,0,0
7361057454454508833,22,0.025648701936006546,0.0030139130540192127,0,0
7226766521719213338,16,0.006304261274635792,0.004226672928780317,0,0
6874890977631390978,30,0.003731972072273493,0.0022326367907226086,0,0
7156608613346184454,29,0.008157424628734589,0.004541166592389345,0,0
7067569943449046278,20,0.014799200929701328,0.002480077091604471,0,0
7568823330518748438,15,0.01090207975357771,0.002916018245741725,0,0
7023313220278553862,28,0.007898039184510708,0.004134469199925661,0,0
7138043316087606533,29,0.005625029094517231,0.013295244425535202,0,0
7162183685423385862,30,0.02705315127968788,0.008724818006157875,0,0
6923969706332327174,15,0.029430536553263664,0.0020174591336399317,0,0
7263733416292617505,26,0.0037795789539813995,0.004322941415011883,0,0
7004414493086240006,22,0.01827045902609825,0.0027707736007869244,0,0
7039005707844308229,20,0.005263123195618391,0.013349531218409538,0,0
7484928854029634838,13,0.004599259700626135,0.0033725963439792395,0,0
7022178037378731270,29,0.015134072862565517,0.003054398111999035,0,0
7604886753471761686,15,0.008270835503935814,0.0017425752012059093,0,0
7044982077288189190,13,0.013706939294934273,0.0029904739931225777,0,0
7478735064881237270,29,0.041473809629678726,0.0035537707153707743,0,0
7038707297396198661,28,0.014483163133263588,0.005658405367285013,0,0
7566676756199951638,14,0.00464248564094305,0.0035806039813905954,0,0
7485773090555956503,15,0.05954998359084129,0.003559491829946637,0,0
7494230009050139926,15,0.02089095488190651,0.0023194849491119385,0,0
7491322585624349974,21,0.005629491060972214,0.0021451395004987717,0,0
7564704328649428246,22,0.018025754019618034,0.0065415771678090096,0,0
7206682386531110149,25,0.03455163165926933,0.0026977115776389837,0,0
7504627479449963798,24,0.010431923903524876,0.003055527340620756,0,0
7219294434465238298,30,0.0034536162856966257,0.010440276004374027,0,0
7211165738957163782,30,0.027000125497579575,0.004644759465008974,0,0
7014868849635904773,17,0.006989555899053812,0.002353222109377384,0,0
7303884823578397984,13,0.00621904619038105,0.0038394713774323463,0,0
7262807521008635168,21,0.0037855678237974644,0.004226619843393564,0,0
7256464845132827931,24,0.0038639530539512634,0.003936787601560354,0,0
7606001119243881750,19,0.016810433939099312,0.005323219113051891,0,0
7299062448965946657,15,0.004351997748017311,0.0017883491236716509,0,0
7022596866374192390,19,0.017220575362443924,0.00907457247376442,0,0
7560707094018542870,29,0.004340137355029583,0.0025678668171167374,0,0
7348766265927814432,24,0.0049350387416779995,0.003246146719902754,0,0
7026774067223055621,28,0.04935986548662186,0.002937002805992961,0,0
7039252769894616326,22,0.04787240922451019,0.0037640465889126062,0,0
7217888414631283995,22,0.006654692348092794,0.011405532248318195,0,0
7431510658845379872,18,0.22919119894504547,0.004261142574250698,0,0
7022925491963481349,14,0.4804653227329254,0.04453735053539276,0,0
7040810874281479430,25,0.0121003994718194,0.0024566566571593285,0,0
7212344637523283205,27,0.0037163845263421535,0.02117192931473255,0,0
7206680972555750661,27,0.009084822610020638,0.004303819499909878,0,0
7036326405155638533,27,0.0028037559241056442,0.001546858111396432,0,0
7516624091097337110,22,0.05390997231006622,0.004167214035987854,0,0
7215515219164990746,29,0.014330890029668808,0.0024346483405679464,0,0
7587442936376233238,20,0.011620969511568546,0.007423742674291134,0,0
7578256886286322966,30,0.0035155368968844414,0.002583374036476016,0,0
7007863408129215749,20,0.01068907044827938,0.0033683874644339085,0,0
7495704452696116503,21,0.06255924701690674,0.004719953052699566,0,0
7486129539827928342,27,0.010162151418626308,0.00341319153085351,0,0
7346541062267079968,21,0.015600189566612244,0.002512821462005377,0,0
7601164093910715670,19,0.017008552327752113,0.002448020502924919,0,0
7033466696245497093,16,0.08294867724180222,0.002890894655138254,0,0
7545046455229205782,25,0.0076803164556622505,0.0033488560002297163,0,0
