id;loopable;mae
716130734882742;0;0.5557528003672826
716135412084942;0;0.09063260508220015
716152379115423;0;0.8625239214877164
716174441497977;0;0.9975225285473773
716212392423335;0;0.9957387154650714
716217490286525;0;0.4108342212381762
716218368542338;0;0.4594094967362247
716243951442891;0;0.8079535240669942
716330375644722;0;0.813656275449043
716355263105350;0;0.3797614750265716
716394295991689;0;0.11028885143718421
716439766647287;0;1.0
716441755079149;0;0.22593025058295121
716476903243076;0;0.00011172026871248546
716477252500672;0;0.23575130379861708
716479223754339;0;0.21200340991733652
716516510007509;0;0.3463065622100301
716588670258040;0;0.21666205292691787
716663721360467;0;0.26222063798059386
716666626409241;0;0.3075268243328843
716701494562678;0;0.26913145104534475
716729236285779;0;0.44526017341682433
716730981851922;0;0.2620518007235011
716738611204068;0;0.9999932513660481
716803850677267;0;0.3579790828166137
716842688485274;0;0.4274332365354133
716891605716659;0;0.24269042195811075
716921812091620;0;0.23871971968344424
716923854577995;0;0.26563734684238266
716994889380582;0;0.4087906080374481
717073013896597;0;0.4299118444533176
717140828778578;0;0.7948081557076887
717144972615858;0;0.9528616960216734
717250737849826;0;0.20426078795629057
717255511187975;0;0.0024230325568286503
717369514763965;0;0.3759517039897048
717370740130292;0;0.3218287344854886
717402229597800;0;0.4620074018777342
717433927114110;0;0.9922625800755189
717482337945364;0;1.0
717511519296610;0;0.24715655475288992
717586460902949;0;0.16682129143076788
717588125423396;0;0.9887626668633784
717619907117721;0;0.4120744266555636
717654991993366;0;0.16398392629395964
717663519046951;0;0.7894246915458564
717691745489391;0;0.5264825211608416
717740400250880;0;0.09434005800301642
717741741454242;0;0.5525374934363949
717765589669932;0;0.4486619862392103
717880418740325;0;0.9958828068639239
717887222137554;0;0.5561225388846333
717889741810735;0;0.3519129681416407
717931922992408;0;0.5965706700500266
717963709093250;0;0.3130759452627835
717968814438251;0;0.2105372239823755
718039234183910;0;0.2751102275636191
718043229015195;0;0.9968052249294622
718043705484353;0;0.353632150903912
718112436498789;0;0.6733809824667905
718154799206167;0;0.46909423774364234
718221889170212;0;0.26999162313664216
718297897425394;0;0.4399408925128858
718298336429343;0;0.14348671487650227
718300904340796;0;0.8382816566858474
718333223460526;0;0.9444092870665657
718347713824948;0;0.49106180173824227
718368130520333;0;0.33044075075430074
718409063501878;0;0.4176884390241202
718445701421765;0;0.4241066919024847
718445939014397;0;0.26002184402353806
718446086440422;0;0.5019868541688818
718447589433595;0;0.056590021140020964
718483136442281;0;0.4501328144984648
718484446252528;0;0.5814460159966801
718520034031096;0;0.3701440204581554
718555510248741;0;0.2383271870458772
718555579644327;0;0.03867571316093974
718587234398870;0;0.00825884469569521
718634425492128;0;0.9462417658908415
718743639013145;0;0.11331421957543318
718744855235479;0;0.09860012672964932
718776282527046;0;0.5795723240939672
718783094565803;0;0.5328037717514835
718818900685157;0;0.9994960891630759
718858799375270;0;0.07092143621983413
718917593909856;0;0.26171104683610885
718952821942559;0;0.35134946177900583
718992798417266;0;0.785650326387107
718995580085132;0;0.1644513070122357
719028334637361;0;0.10300175336141822
719045697241886;0;0.9826539930455255
719065506347011;0;0.225404094736192
719101267786970;0;0.45157830583648156
719151588333066;0;0.2489517128334294
719184803578411;0;0.277989525886658
719188421759521;0;0.40402128239412644
719189636263030;0;0.18051300226883643
719217278772378;0;0.38924831745964406
719223733741217;0;0.2700198729268663
719225418596904;0;0.5995687951252607
719229850387857;0;0.4524654638782445
719261719285098;0;0.9651146298307732
719270968128078;0;0.34067498439948285
719303408766003;0;0.637013216335435
719333880887045;0;0.5861514747334706
719375154774922;0;0.19967950911888332
719380871928776;0;0.5383793327886937
719448423958328;0;0.5717968931520951
719450163011127;0;0.34221536759299015
719485937222748;0;0.9124458366640477
719521545097060;0;0.3743989304034798
719522575254187;0;0.5657542910477616
719560736581363;0;0.310483468800173
719593745627169;0;0.2536455360197275
719621116409363;0;0.39284616375278736
719671166742038;0;0.5774023094586405
719708026462596;0;0.3726216625084911
719708654247985;0;0.28928823255789626
719744546858503;0;0.24943401856312417
719744808411950;0;0.6217592423036709
719747070641681;0;0.41869195254017594
719782422598872;0;0.44799421312811655
719818969475083;0;0.2531136681909471
719819467435445;0;0.25700806263798
719855888894011;0;0.12072426582959046
719883128298432;0;0.30775513110990027
719894713630040;0;0.2071196796301941
719933806586793;0;0.7590233121151151
719958612395231;0;0.17095302612091315
719967793594977;0;0.11505059608171594
720005633632161;0;0.8701525811718469
720011233187389;0;0.44787761867241915
720041826962958;0;0.41375978499106836
720157924761649;0;0.11940376855003702
720189229911299;0;0.5271698352820334
720227703293854;0;0.6468231982800758
720231339830072;0;0.7567769009116803
720261794898331;0;0.3296801414596569
720290989821932;0;0.44848465906238716
720301920385766;0;0.9998018082225933
720304881235132;0;0.71992047868414
720368404060663;0;0.1587529647767876
720376376053889;0;0.3976792466265334
720381061718093;0;0.43233110380208906
720439562146839;0;0.192251369799547
720487014785574;0;0.10554008903781185
720487467336712;0;0.2517242466991152
720490784844952;0;0.22320345852329224
720513421832890;0;0.08613369656936758
720561749414333;0;0.16114119256311205
720565882940345;0;0.2839939296288194
720596141194246;0;0.25311200641980386
720597637937085;0;0
720634263731660;0;0.2560618070799901
720641724650204;0;0.2786151204933346
720668097255575;0;0.7197865383094045
720668238653111;0;0.24230377387013174
720735050041970;0;0.20859281410482755
720781812540285;0;0.235822935146641
720784211031626;0;0.9154383918363187
720786280689959;0;0.062043002154294966
720822000631477;0;0.3493100549252727
720853993242242;0;0.986220978548638
720855163786926;0;0.9961562657373596
720856658453576;0;0.15290216791144043
720859055034843;0;0.274714005461054
720883954598976;0;0.18028912345009115
720893334993345;0;0.5301298322612061
720895261033682;0;0.913665328858336
720925978426306;0;0.3742522017791279
720992534055734;0;0.5536794415543161
721006730409517;0;0.15846600129892688
721007406376563;0;0.23937271758919948
721043471064683;0;0.14559757458201314
721075169577155;0;0.12644163934732017
721080607535481;0;0.10480304862162378
721081723136878;0;0.2835111181122853
721083453259196;0;0.33268093691021333
721113031166771;0;0.2730917429418743
721116573895716;0;0.2537084992901572
721143181720587;0;0.3638613421456284
721156599285247;0;0.4319732111172838
721193249291429;0;0.30183514063373795
721234463752328;0;0.39892400889821505
721305335029045;0;0.3126129964228065
721345334827037;0;0.11240726603003262
721365517531821;0;0.6160393182385114
721379486363091;0;0.504211849850926
721379554057473;0;0.3523939019809354
721411327101875;0;0.2929154705209229
721439695581068;0;0.6108742790203794
721476784538390;0;0.5652978987086316
721486293413926;0;0.3178827857321976
